time,F_gravity,F_s,F_fric,F_gfl,F_gfr,F_grl,F_grr
25.442,-588.5999755859375,8294.0888671875,-2.1954970359802246,148.43963623046875,145.82200622558594,148.49923706054688,145.83912658691406
25.542,-588.5999755859375,8291.6142578125,-2.1269354820251465,147.57456970214844,148.63294982910156,145.6704559326172,146.7220458984375
25.642,-588.5999755859375,8288.814453125,-2.0507287979125977,148.66281127929688,144.62547302246094,149.7255096435547,145.58619689941406
25.742,-588.5999755859375,8285.73046875,-1.9665473699569702,145.62527465820312,142.2722625732422,152.062744140625,148.63970947265625
25.842,-588.5999755859375,8282.3740234375,-1.8766995668411255,147.19764709472656,149.30374145507812,145.00962829589844,147.0889892578125
25.942,-588.5999755859375,8278.724609375,-1.7846357822418213,144.69725036621094,142.2927703857422,152.02513122558594,149.58485412597656
26.042,-588.5999755859375,8274.80859375,-1.6946121454238892,150.02484130859375,146.13809204101562,148.20912170410156,144.2279510498047
26.142,-588.5999755859375,8270.830078125,-1.6058123111724854,145.9405059814453,147.89688110351562,146.41465759277344,148.34796142578125
26.242,-588.5999755859375,8266.71875,-1.5181312561035156,145.3973388671875,145.4616241455078,148.83837890625,148.90264892578125
26.342,-588.5999755859375,8262.625,-1.433003306388855,148.53961181640625,143.68536376953125,150.688720703125,145.68629455566406
26.442,-588.5999755859375,8258.6962890625,-1.3461418151855469,148.44456481933594,147.48556518554688,146.8172607421875,145.8526153564453
26.542,-588.5999755859375,8254.755859375,-1.2593821287155151,148.8372039794922,145.7285614013672,148.6014862060547,145.4327392578125
26.642,-588.5999755859375,8250.765625,-1.1731294393539429,148.3040313720703,145.06884765625,149.2637176513672,145.96339416503906
26.742,-588.5999755859375,8246.60546875,-1.0846155881881714,145.78082275390625,149.56716918945312,144.77557373046875,148.47642517089844
26.842,-588.5999755859375,8242.396484375,-0.9984215497970581,148.15211486816406,146.128662109375,148.18397521972656,146.13523864746094
26.942,-588.5999755859375,8238.0546875,-0.9150300621986389,147.31907653808594,145.62400817871094,148.68484497070312,146.97206115722656
27.042,-588.5999755859375,8233.595703125,-0.8321925401687622,147.0279083251953,147.28338623046875,147.01681518554688,147.2718963623047
27.142,-588.5999755859375,8229.1162109375,-0.7530204653739929,147.93942260742188,146.22927856445312,148.07974243164062,146.35154724121094
27.242,-588.5999755859375,8224.6533203125,-0.6784828901290894,148.75473022460938,143.89491271972656,150.47935485839844,145.47100830078125
27.342,-588.5999755859375,8220.501953125,-0.6056256294250488,147.20907592773438,146.0463104248047,148.25784301757812,147.08677673339844
27.442,-588.5999755859375,8216.5703125,-0.5329824686050415,148.76547241210938,146.08189392089844,148.2404327392578,145.51219177246094
27.542,-588.5999755859375,8212.861328125,-0.460906982421875,148.7174072265625,144.73165893554688,149.61801147460938,145.5329132080078
27.642,-588.5999755859375,8209.421875,-0.3860364556312561,146.93572998046875,147.1658172607422,147.1343536376953,147.36410522460938
27.742,-588.5999755859375,8206.0517578125,-0.31054890155792236,150.0789337158203,149.04144287109375,145.26185607910156,144.21775817871094
27.842,-588.5999755859375,8202.77734375,-0.23525847494602203,152.0012664794922,144.95944213867188,149.49868774414062,142.14060974121094
27.942,-588.5999755859375,8199.61328125,-0.1601981371641159,147.6901397705078,145.40774536132812,148.9083709716797,146.59375
28.042,-588.5999755859375,8196.548828125,-0.0860213041305542,148.53199768066406,146.4867706298828,147.82614135742188,145.7550811767578
28.142,-588.5999755859375,8193.701171875,-0.012431904673576355,148.7697296142578,145.88458251953125,148.44126892089844,145.50442504882812
28.242,-588.5999755859375,8191.2265625,0.06152860447764397,150.8673553466797,140.5321807861328,154.11598205566406,143.08448791503906
28.342,-588.5999755859375,8189.12548828125,0.13428866863250732,149.75537109375,146.69485473632812,147.63426208496094,144.51551818847656
28.442,-588.5999755859375,8187.44482421875,0.20778946578502655,146.462646484375,145.18055725097656,149.12449645996094,147.83230590820312
28.542,-588.5999755859375,8186.09423828125,0.28269055485725403,148.18392944335938,146.98841857910156,147.3159637451172,146.11167907714844
28.642,-588.5999755859375,8184.9794921875,0.3594730496406555,147.2131805419922,146.6953887939453,147.6054229736328,147.08599853515625
28.742,-588.5999755859375,8183.9619140625,0.4367564618587494,144.15757751464844,148.62094116210938,145.7382354736328,150.083251953125
28.842,-588.5999755859375,8182.98779296875,0.5132405757904053,147.1058807373047,146.0887451171875,148.2144317626953,147.19094848632812
28.942,-588.5999755859375,8181.96533203125,0.5149062275886536,147.48268127441406,148.0513458251953,146.24964904785156,146.8163299560547
29.042,-588.5999755859375,8180.8583984375,0.5151412487030029,146.79669189453125,147.16969299316406,147.13072204589844,147.5028839111328
29.142,-588.5999755859375,8179.5810546875,0.5141732096672058,147.4750518798828,146.5337677001953,147.76895141601562,146.82223510742188
29.242,-588.5999755859375,8178.1650390625,0.5118771195411682,147.3337860107422,147.58953857421875,146.71066284179688,146.9660186767578
29.342,-588.5999755859375,8176.6484375,0.5090662240982056,147.6177520751953,146.42742919921875,147.87692260742188,146.67788696289062
29.442,-588.5999755859375,8175.05126953125,0.5063451528549194,147.254638671875,146.66629028320312,147.634765625,147.04429626464844
29.542,-588.5999755859375,8173.43896484375,0.5041965842247009,147.75830078125,146.1680145263672,148.1397705078125,146.53392028808594
29.642,-588.5999755859375,8171.78271484375,0.5033307075500488,146.78562927246094,147.48446655273438,146.8170166015625,147.51287841796875
29.742,-588.5999755859375,8170.0634765625,0.5039255023002625,147.2060089111328,146.86585998535156,147.4344940185547,147.09364318847656
29.842,-588.5999755859375,8168.29736328125,0.5056411623954773,146.3899688720703,147.92556762695312,146.38156127929688,147.90289306640625
29.942,-588.5999755859375,8166.560546875,0.5082395076751709,147.22239685058594,147.3577423095703,146.94232177734375,147.07754516601562
30.042,-588.5999755859375,8164.90576171875,0.5111299157142639,146.48223876953125,147.50393676757812,146.7992401123047,147.81459045410156
30.142,-588.5999755859375,8163.30517578125,0.5135442614555359,147.51263427734375,147.5747528076172,146.7252655029297,146.787353515625
30.242,-588.5999755859375,8161.748046875,0.5149990916252136,146.81617736816406,147.20849609375,147.09197998046875,147.4833526611328
30.342,-588.5999755859375,8160.203125,0.5151219367980957,147.25592041015625,147.00648498535156,147.293701171875,147.0438995361328
30.442,-588.5999755859375,8158.677734375,0.5138020515441895,146.94729614257812,147.2321014404297,147.06814575195312,147.35244750976562
30.542,-588.5999755859375,8157.212890625,0.5114413499832153,147.94386291503906,146.8022003173828,147.50181579589844,146.35214233398438
30.642,-588.5999755859375,8155.82275390625,0.5086128115653992,147.0737762451172,146.9525604248047,147.3474884033203,147.22618103027344
30.742,-588.5999755859375,8154.46875,0.5059337019920349,147.69981384277344,146.45811462402344,147.84661865234375,146.59544372558594
30.842,-588.5999755859375,8153.16748046875,0.5039275288581848,147.41990661621094,147.0547637939453,147.2456512451172,146.8796844482422
30.942,-588.5999755859375,8151.87548828125,0.5033766031265259,147.08447265625,147.1764678955078,147.12356567382812,147.2154998779297
31.042,-588.5999755859375,8150.59716796875,0.5040328502655029,146.61476135253906,147.3867950439453,146.91500854492188,147.6834259033203
31.142,-588.5999755859375,8149.3740234375,0.5058856010437012,147.0657196044922,147.57994079589844,146.72085571289062,147.2334747314453
31.242,-588.5999755859375,8148.23681640625,0.5086274743080139,146.52525329589844,147.68695068359375,146.6171417236328,147.77066040039062
